50 50
0 0 2.0
0 1 -1.0
1 0 -1.0
1 1 2.0
1 2 -1.0
2 1 -1.0
2 2 2.0
2 3 -1.0
3 2 -1.0
3 3 2.0
3 4 -1.0
4 3 -1.0
4 4 2.0
4 5 -1.0
5 4 -1.0
5 5 2.0
5 6 -1.0
6 5 -1.0
6 6 2.0
6 7 -1.0
7 6 -1.0
7 7 2.0
7 8 -1.0
8 7 -1.0
8 8 2.0
8 9 -1.0
9 8 -1.0
9 9 2.0
9 10 -1.0
10 9 -1.0
10 10 2.0
10 11 -1.0
11 10 -1.0
11 11 2.0
11 12 -1.0
12 11 -1.0
12 12 2.0
12 13 -1.0
13 12 -1.0
13 13 2.0
13 14 -1.0
14 13 -1.0
14 14 2.0
14 15 -1.0
15 14 -1.0
15 15 2.0
15 16 -1.0
16 15 -1.0
16 16 2.0
16 17 -1.0
17 16 -1.0
17 17 2.0
17 18 -1.0
18 17 -1.0
18 18 2.0
18 19 -1.0
19 18 -1.0
19 19 2.0
19 20 -1.0
20 19 -1.0
20 20 2.0
20 21 -1.0
21 20 -1.0
21 21 2.0
21 22 -1.0
22 21 -1.0
22 22 2.0
22 23 -1.0
23 22 -1.0
23 23 2.0
23 24 -1.0
24 23 -1.0
24 24 2.0
24 25 -1.0
25 24 -1.0
25 25 2.0
25 26 -1.0
26 25 -1.0
26 26 2.0
26 27 -1.0
27 26 -1.0
27 27 2.0
27 28 -1.0
28 27 -1.0
28 28 2.0
28 29 -1.0
29 28 -1.0
29 29 2.0
29 30 -1.0
30 29 -1.0
30 30 2.0
30 31 -1.0
31 30 -1.0
31 31 2.0
31 32 -1.0
32 31 -1.0
32 32 2.0
32 33 -1.0
33 32 -1.0
33 33 2.0
33 34 -1.0
34 33 -1.0
34 34 2.0
34 35 -1.0
35 34 -1.0
35 35 2.0
35 36 -1.0
36 35 -1.0
36 36 2.0
36 37 -1.0
37 36 -1.0
37 37 2.0
37 38 -1.0
38 37 -1.0
38 38 2.0
38 39 -1.0
39 38 -1.0
39 39 2.0
39 40 -1.0
40 39 -1.0
40 40 2.0
40 41 -1.0
41 40 -1.0
41 41 2.0
41 42 -1.0
42 41 -1.0
42 42 2.0
42 43 -1.0
43 42 -1.0
43 43 2.0
43 44 -1.0
44 43 -1.0
44 44 2.0
44 45 -1.0
45 44 -1.0
45 45 2.0
45 46 -1.0
46 45 -1.0
46 46 2.0
46 47 -1.0
47 46 -1.0
47 47 2.0
47 48 -1.0
48 47 -1.0
48 48 2.0
48 49 -1.0
49 48 -1.0
49 49 2.0
